,X,Y,Z,omega,phi,kappa,c,b1,b2,b3,b4,b5,b6,b7,SE
17,0.09841212,-0.11115395,0.36870385,2.63951214,0.04394569,2.84043948,1036.3902246,1.7207802063545774e-05,-0.00019254401945423272,0.00011954049238827036,5.568692756086069e-06,-0.0005683131516774631,-0.0002116000124272044,0.0003333902583041448,0.0008254816300348363
33,0.09841212,-0.11115395,-0.36870385,2.63951214,0.04394569,-0.30115317,1036.39022458,1.7207800560192776e-05,-0.0001925440146573476,0.00011954049145984635,5.568690325558068e-06,-0.0005683131468411928,-0.00021160000423875447,0.000333390256206767,0.0008254816300348529
34,0.09841212,-0.11115395,0.36870385,2.63951214,0.04394569,2.84043948,1036.3902246,1.7207798543694697e-05,-0.00019254402029511564,0.00011954049253209975,5.56869164131113e-06,-0.0005683131501319771,-0.00021160001111547588,0.00033339025994516547,0.0008254816300348651
35,0.09841212,-0.11115395,-0.36870385,2.63951214,0.04394569,-0.30115317,1036.3902246,1.7207799464513673e-05,-0.00019254402061541498,0.00011954049426393665,5.568692001661768e-06,-0.0005683131492622562,-0.00021160000940345647,0.0003333902603440131,0.0008254816300348663
60,0.09841212,-0.11115395,0.36870385,2.63951214,0.04394569,2.84043948,1036.3902246,1.7207799993146367e-05,-0.00019254401833379564,0.00011954049294471414,5.568692693164179e-06,-0.0005683131494318983,-0.00021160001054615352,0.0003333902611151185,0.0008254816300348692
26,0.09841212,-0.11115395,-0.36870385,2.63951214,0.04394569,-0.30115317,1036.39022461,1.72077906465673e-05,-0.00019254401252755127,0.0001195404844684389,5.568687088869373e-06,-0.0005683131503322614,-0.00021160000355613384,0.0003333902567165814,0.0008254816300348837
76,0.09841212,-0.11115395,0.36870385,2.63951214,0.04394569,2.84043948,1036.3902246,1.7207798981511147e-05,-0.00019254402055446374,0.00011954049410084489,5.568692357182936e-06,-0.0005683131495229088,-0.0002116000093289605,0.00033339026031847796,0.0008254816300348846
84,0.09841212,-0.11115395,0.36870385,2.63951214,0.04394569,2.84043948,1036.3902246,1.7207796116747165e-05,-0.0001925440184854521,0.00011954049204787598,5.568693408453118e-06,-0.0005683131502423333,-0.00021160000971265358,0.0003333902600554661,0.0008254816300348913
91,0.09841212,-0.11115395,0.36870385,2.63951214,0.04394569,2.84043948,1036.3902246,1.7207799039187233e-05,-0.00019254402049861952,0.0001195404934064559,5.568691599400211e-06,-0.0005683131499140404,-0.0002116000093901893,0.00033339025880768647,0.0008254816300348953
67,0.09841212,-0.11115395,-0.36870385,2.63951214,0.04394569,-0.30115317,1036.3902246,1.720779914610171e-05,-0.00019254401922380593,0.00011954049480095152,5.568693954960402e-06,-0.0005683131492065785,-0.00021160000840880766,0.00033339026050549503,0.0008254816300348971
50,0.09841212,-0.11115395,0.36870385,2.63951214,0.04394569,2.84043948,1036.3902246,1.720779858632726e-05,-0.00019254401926571685,0.00011954049262030697,5.568691850310614e-06,-0.0005683131495021754,-0.00021160001031544917,0.00033339026046780296,0.0008254816300348978
83,0.09841212,-0.11115395,-0.36870385,2.63951214,0.04394569,-0.30115317,1036.3902246,1.7207797156471027e-05,-0.0001925440224100905,0.00011954049096191133,5.5686877222516085e-06,-0.0005683131504320704,-0.0002116000086161418,0.0003333902589994775,0.0008254816300349152
24,0.09841212,-0.11115395,-0.36870385,2.63951214,0.04394569,-0.30115317,1036.3902246,1.7207801823904134e-05,-0.0001925440198663475,0.0001195404963494906,5.568693273366732e-06,-0.0005683131480147541,-0.00021160000816894398,0.0003333902618892215,0.00082548163003492
10,0.09841212,-0.11115395,0.36870385,2.63951214,0.04394569,2.84043948,1036.39022458,1.720782022984757e-05,-0.00019254401201235227,0.00011954049282331125,5.568696127222772e-06,-0.0005683131508315564,-0.00021160001572190223,0.0003333902628047669,0.0008254816300349235
